brand;model;year;price;sales_USA;sales_Europe;sales_Asia;sales_Africa;sales_Australia
Toyota;Corolla;2020;16999;150000;120000;200000;80000;30000
Honda;Accord;2020;23999;100000;90000;120000;60000;20000
Ford;F150;2020;31999;80000;70000;100000;40000;15000
Chevrolet;Silverado;2020;28999;60000;50000;80000;30000;10000
Nissan;Maxima;2020;27999;50000;40000;70000;25000;8000
Mazda;Mazda6;2020;25999;40000;30000;50000;20000;5000
Hyundai;Sonata;2020;21999;30000;25000;40000;15000;4000
Tesla;Model X;2020;89999;8000;10000;15000;5000;1000
BMW;M4;2020;79999;10000;15000;20000;5000;1000
Mercedes-Benz;GLS-Class;2020;98999;5000;7000;10000;3000;1000
Audi;Q7;2020;64999;12000;10000;15000;5000;2000
Porsche;Cayenne;2020;91999;5000;7000;10000;3000;1000
Lexus;GX;2020;59999;8000;7000;10000;4000;1500
Infiniti;QX30;2020;43999;10000;8000;12000;4000;1500
Cadillac;CTS-V;2020;90999;4000;6000;8000;2000;500
GMC;Yukon;2020;61999;8000;9000;12000;3500;1000
Ram;2500;2020;57999;9000;10000;13000;4000;1200
Jeep;Grand Cherokee;2020;47999;8000;9000;12000;3500;1000
Subaru;Impreza;2020;20999;10000;8000;12000;5000;1500
Kia;Sorento;2020;31999;7000;6000;10000;3500;1200
Volvo;XC40;2020;36999;5000;5000;8000;2500;1000
Mitsubishi;Eclipse Cross;2020;26999;6000;4000;7000;3000;800
Land Rover;Range Rover Sport;2020;109999;4000;5000;7000;2500;1000
Jaguar;F-Type;2020;75999;3000;4000;5000;2000;500
